動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
行なう,おこなう,,,,制御,,T,,,F,正しく制御を行ない事象は下記の通り　・メインSW　OFF　・PKB　作動　・Dレンジ以外　・エンジン回転数が異常　・セット車速よりも現車速が著しく低下　・運転支援が可能な速度域以下に現車速が低下,,"ニ,カラ",,,
意識する,いしきする,,"

ソフト実装 [3]",,"仕様開発・他システム [1]
システムとしてやりたいこと [2]
システムとしてやりたいこと [3]","

",T,"

",,F,"[1] [号口開発部署]・要求の理由/思想を理解した仕様開発・他システムを意識した　仕様開発・問題発生時に要求に立ち戻った対策検討[評価部署]要求に基づいた抜けのない評価実施[仕入先]思想理解によるハード/ソフト品質向上
[2] システムとしてやりたいことを意識した効率的なハードソフト設計。
[3] システムとしてやりたいことを意識した効率的なソフト実装。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
書き換える,かきかえる,,セット車速,,,,T,,,F,CCS時に、アクセル操作・コースト操作を受け付けたときに、タップアップ操作・タップダウン操作によって書き換えられたセット車速に現車速が追い付いていない場合は、セット車速を変化させないこと。,,カラ,,,
行う,おこなう,,"













作業 [15]










タップアップ操作・タップダウン操作 [26]

調整操作 [28]


アクセル操作・コースト操作 [31]



制御 [35]


システム [38]

アクセルペダル・ブレーキペダル操作 [40]
ブレーキ操作 [41]


異常 [44]


もの [47]

",,"各操作 [1]
設定 [2]
２操作 [3]
故障検知 [4]
加減速 [5]
＜定速走行 [6]
加減速 [7]
加減速 [8]
目標車間距離 [9]
減速 [10]
上下限処理 [11]
減速 [12]
減速 [13]
作業,こと [14]

追従制御 [16]
加減速 [17]
加減速 [18]
加減速 [19]
ACC-15CY-NA-FR-FR0003 [20]
警告 [21]
シフトダウン [22]
加減速 [23]
制御 [24]
抑制 [25]

処理 [27]

追従制御 [29]
加減速 [30]

処理 [32]
加減速 [33]
ACC-15CY-NA-FR-FR0003 [34]

表示 [36]
処理 [37]
メータ表示 [38]
抜き制御 [39]


処理 [42]
減速 [43]
処理 [44]
ダイアグ検出 [45]
軸調整作業 [46]
故障検知 [47]
監視 [48]
相互監視 [49]","















































",T,"










必要 [12]
必要 [13]







ドライバ [21]



























",,F,"[1] クルーズシステムのON/OFF、車速設定、加速、減速、及び制御のキャンセルの各操作を行う
[2] 車間時間の設定を行う
[3] メインSW　ONの後にセット操作、という２操作を行うことで、ドライバの明確な意思を確認している
[4] クルーズシステムは、自身の作動状況を監視する機能をもち、この機能により故障検知を行うこと
[5] 自車速がセット車速より外れたら、自車速をセット車速に近づけるために加減速を行う。
[6] ＜定速走行を行う＞
[7] 先行車以外の周辺の車両も認識し、状況に応じて加減速を行う
[8] 同上先行車以外の周辺の車両も認識し、状況に応じて加減速を行う
[9] 先行車と自車との目標車間距離を、安全な距離になるように加減速を行う。
[10] 先行車が加速する場合は、基本的に自車から離れていくので先行車に近づきすぎることでのドライバの不快感はないが、先行車が減速する場合は、先行車の減速の度合いによっては先行車に必要以上に近づくので、減速は加速より速やかに行う。
[11] 前回の目標加速度と今回の目標加速度の加速度変化値に上下限処理を行う。
[12] 目標車間距離を保つために自車を減速させているとき、先行車が加速して車間距離が広がっていくと判断した場合は、必要以上に減速を行わない。
[13] 同上目標車間距離を保つために自車を減速させているとき、先行車が加速して車間距離が広がっていくと判断した場合は、必要以上に減速を行わない。
[14] 　・ドライバが降車することが予想できる　・自車付近でエンジンルームに対する作業や、トランクを空けて行う作業が行われることが予想できる　・長時間停止している
[15] 　・ドライバが降車することが予想できる　・自車付近でエンジンルームに対する作業や、トランクを空けて行う作業が行われることが予想できる　・長時間停止している
[16] 停止保持中に先行車が発進したとき、レバー操作またはアクセルペダルを踏下することによって発進し、セット車速内で追従制御を行う。
[17] センサによって自車の進行方向に先行車を検出しなければ、車速をセット車速に等しくするため加減速を行う
[18] ACC-15CY-NA-FR-FR0021を参照(ACC-15CY-NA-FR-FR0021)自車速がセット車速より外れたら、自車速をセット車速に近づけるために加減速を行う。
[19] ACC-15CY-NA-FR-FR0021を参照(ACC-15CY-NA-FR-FR0021)自車速がセット車速より外れたら、自車速をセット車速に近づけるために加減速を行う。
[20] ACC-15CY-NA-FR-FR0003を参照(ACC-15CY-NA-FR-FR0003)先行車と自車との目標車間距離を、安全な距離になるように加減速を行う。
[21] 先行車に接近したらドライバに警告を行う。
[22] ブレーキによる制動中に、ある目標減速度以上が一定時間以上続く場合、シフトダウンを行う
[23] 加減速度や車速が急変しないように加減速を行う。
[24] 制御中に加速状態が継続し、異常だと判定した場合、目標駆動力が小さくなるように制限し、制限した値に基づいて制御を行う。
[25] カーブ走行（直線ではない道路）となった場合、車線を逸脱しないようにカーブRに応じた加速の抑制を行う。
[26] タップアップ操作・タップダウン操作が行われたときに、セット車速と現在の車速の差が大きい場合は、現在の車速をセット車速に設定する。
[27] セット車速を表示しない車両ではこの処理は行わない。
[28] セット車速の調整操作が行われている間、アクセル操作・コースト操作に応じて、セット車速を現在の値から連続的に増加または減少させて更新する。
[29] ACC-15CY-NA-FR-FR0003-T24　を参照停止保持中に先行車が発進したとき、レバー操作またはアクセルペダルを踏下することによって発進し、セット車速内で追従制御を行う。
[30] CCS時に、アクセル操作/コースト操作を受け付けたときは、加減速を行い、加減速で変化した現車速を表示する。
[31] アクセル操作・コースト操作が行われたときに、セット車速と現在の車速の差が大きい場合は、現在の車速をセット車速に設定する。
[32] セット車速を表示しない車両ではこの処理は行わない。
[33] ドライバの車間SW操作が入力されたら、目標車間距離を変更し、先行車との車間制御中であるならば、徐々に車間距離を変更するために緩やかな加減速を行う。
[34] ACC-15CY-NA-FR-FR0003を参照先行車と自車との目標車間距離を、安全な距離になるように加減速を行う。
[35] ただし、メインSW　ONの間に1度でも制御が行われた場合は、メインSWをOFFし再度ONするまで制御モードを切り替えられないようにする。
[36] この要求を受けたメータでは、例えば、「ミリ波レーダー汚れ」という原因と　「清掃が必要です」といったドライバへの対処方法の表示を行うことを想定している。
[37] メインSWがOFFになることで正しく制御を行える条件が成立しなくなり、キャンセル時と同じ処理を行う。
[38] クルーズシステム以外の異常の場合、異常となるシステムがメータ表示を行い、クルーズシステムとしては原因を表示しない。
[39] ブレーキ制御中にドライバのブレーキペダル踏下・エンジン回転数の上昇によって制御をキャンセルした場合は、違和感のない抜き制御を行うこと。
[40] ドライバのアクセルペダル・ブレーキペダル操作が行われた場合は緩やか制動力を抜く。
[41] この時、ドライバがブレーキ踏下を行っていなければ、ブレーキ踏下を促すように通知し、ブレーキ操作が行われるまで制動を掛けるようブレーキＥＣＵに要求する。
[42] この処理は車間制御モードでのみ行う。
[43] LKAより減速の加速度要求を受けたら、減速を行う。
[44] 同じ振る舞いが必要となる異常は、同じランク付けで処理を行う。
[45] 工場を出荷するまでの工程でクルーズシステムの正常作動確認できない場合はダイアグ検出を行い、インジケータなどで作業者に分かるように表示をすること
[46] 以下の場合にはかならず軸調整作業を行うこと　・DSS,パワトレECUの脱着、交換　・ミリ波レーダーの脱着、交換　・ｻｽﾍﾟﾝｼｮﾝ交換　・ﾊﾞﾝﾊﾟｰｶﾊﾞｰ／ｸﾞﾘﾙの脱着　・ﾊﾞﾝﾊﾟｰｶﾊﾞｰ／ｸﾞﾘﾙの変形
[47] 装置は、当該装置の作動状況を監視する機能を有し、この機能により故障検知を行うものであること。
[48] マイコン定速走行制御の機能を有するマイコンに監視回路を設け、相互に監視を行う。
[49] 又は、マイコン間での相互監視を行う。","















































","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ,ヨリ [10]
ニ,カラ [11]
カラ [12]
カラ [13]
ニ,デ,カラ [14]
ニ,カラ [15]
ニ,デ,カラ [16]
ニ,カラ [17]
ニ,カラ [18]
ニ,カラ [19]
ニ,カラ [20]
カラ [21]
ニ,カラ [22]
ニ,カラ [23]
ニ,カラ [24]
ニ,カラ [25]
ニ,カラ [26]
ニ,デ,カラ [27]
ニ,カラ [28]
ニ,デ,カラ [29]
ニ,カラ [30]
ニ,カラ [31]
ニ,デ,カラ [32]
ニ,カラ [33]
ニ,カラ [34]
ニ,デ,カラ [35]
ニ,カラ [36]
ニ,カラ [37]
ニ,カラ [38]
ニ,カラ [39]
ニ,カラ [40]
ニ,カラ [41]
ニ,デ,カラ [42]
ニ,カラ [43]
ニ,デ,カラ [44]
ニ,デ,カラ [45]
ニ,カラ [46]
ニ,カラ [47]
ニ [48]
ニ,カラ [49]",,,
到達する,とうたつする,,"

",,"

","

",F,"

",,T,"[1] 止まりそうな速度（クリープ走行程度）の先行車に追従して走行中、先行車が停止した場合、目標車間距離に到達していなくても、自車を停止させる。
[2] 止まりそうな速度（クリープ走行程度）の先行車に追従して走行中、先行車が停止した場合、目標車間距離に到達していなくても、自車を停止させる。
[3] ACC-15CY-NA-FR-FR0052-T00を参照止まりそうな速度（クリープ走行程度）の先行車に追従して走行中、先行車が停止した場合、目標車間距離に到達していなくても、自車を停止させる。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
詰まる,つまる,,車間距離,自動詞,,,F,,,,先行車との車間距離が詰まり、自車がACCの最大減速度を出しても支援が限界である場合は、ドライバに分かるように通知する,,ニ,,,
存在する,そんざいする,,"車両 [1]
車両 [2]
車両 [3]",,"

","

",F,"

",,F,"[1] 自車の速度や道路の屈曲を踏まえ、自車が走行する車線上の前方に存在する車両を確実に認識すること。
[2] 前方に複数台の車両が存在している場合、ACCシステムは自動的に本車線内の最も近い前車を選択し、それに追随すること(5.2.5.3を参照)。
[3] 直線道路上で前方に複数台の車両が存在し、あるいは、カーブ上で本車のACCシステムがタイプⅡ、タイプⅢまたはタイプⅣのいずれかである場合、本車と同一車線上にある前車(図5参照)が、ACCシステム制御の目標車として選択されること。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,デ,カラ [3]",,,
適用する,てきようする,,"

",,"τmin [1]

","

",ー,"ACC制御 [1]
システム [2]
システム [3]",,T,"[1] τminは定常状態で選択可能な最小車間時間で、全ての車速Vに対するACC制御に適用できる。
[2] 自動ブレーキ状態(ACC2タイプのシステムだけに適用する)の車輪ロック時間は、ABSの許容値を超えないこと。
[3] ブレーキランプの制御(ACC2タイプのシステムだけに適用する)ACCシステムの作動過程において自動ブレーキ操作を実施する場合、ブレーキランプは点灯すること。","

","
カラ [2]
カラ [3]",,,
切り替わる,きりかわる,,,自動詞,,,F,制御モード,,T,メータに制御モードに切り替わったことを通知し、制御モードの表示を更新することを要求する。,,カラ,,,
損なう,そこなう,,,,安全,,T,,,F,安全を損なう状況としては、車間制御に影響する異常が発生している状況などが考えられる。,,"ニ,カラ",,,
再開する,さいかいする,,,,,,T,,,F,検出していない場合は、車速が下限を超えるまで再開できない。,,"ニ,カラ",,,
制御する,せいぎょする,,"
",,"
速度 [2]","
",T,"
",,F,"[1] 適切に制御できる状況としては、ブレーキが踏まれていない、PKBが作動していない、シフトがDレンジであるなどが考えられる。
[2] 本車速度ACCシステムは当該車両の速度を制御できること。","
","ニ,カラ [1]
ニ,カラ [2]",,,
曲がる,まがる,,車両,自動詞,,,F,,,,カーブR、操舵角により車両が曲がっていることが分かる場合は、加速度が大きく変動しないようにする。,,"ニ,カラ",,,
提供する,ていきょうする,,"

",,"ギャップT [1]
方法 [2]
フィードバック情報 [3]","

",T,"

運転者 [3]",,F,"[1] τmin(V)は、1s以上で、かつ、少なくとも1.5s～2.2sの車間時間ギャップTを一つ提供すること。
[2] ACCシステムは、希望する車速を選択、設定する方法を提供すること。
[3] ACCシステムの作動状態および設定速度などを含む最も基本的なフィードバック情報を運転者に提供すること。","

","ニ,カラ [1]
ニ,カラ [2]
カラ [3]",,,
読む,よむ,,箇所,,,,T,,,F,優先的に読む箇所,,,,,
説明する,せつめいする,,"
",,"妥当性 [1]
","
",T,"
5.2.5.2～5.2.5.4 [2]",,F,"[1] 今後の要求定義や設計を進める上でのトレードオフ判断や、設変の妥当性が説明できるようにすることを目的としている。
[2] ACCシステムは5.2.5.2～5.2.5.4に詳しく説明した検知距離、目標識別能力およびカーブ適応能力を備えること。","
","カラ [1]
カラ [2]",,,
関わる,かかわる,,"

部品・通信 [3]",,"ノウハウ [1]

","

",F,"影響範囲見積もり [1]
要因 [2]
",,T,"[1] ・思想/検討経緯を明確化してノウハウを社内蓄積（Ｑ）・設計時の変更箇所特定や影響範囲見積もりに活用（Ｑ、Ｄ）・ソフト/ハードに関わる関係部署への説明資料として活用（Ｑ）
[2] キャンセルした要因に関わらず、ブレーキの抜き時間を選択すること。
[3] クルーズシステムやクルーズシステムに関わる部品・通信で異常が起こったら、故障部位を特定できるようにダイアグを残すこと。","

","カラ [1]
カラ [2]
ニ,カラ [3]",,,
屈曲する,くっきょくする,,道路,,,,,,,,センサは自車正面方向にセンシングを行っており、屈曲した道路では自車正面と先行車の位置がずれるため、(現状においては)センサの制約上、補正する必要がある。,,,,,
いる,いる,,"先行車 [1]

(1)定速走行制御　Constant　Speed　Control先行車 [3]
(2)車間距離制御　Distance　Control　between　Vehicles先行車 [4]
先行車 [5]
先行車 [6]



先行車 [10]
先行車 [11]
先行車 [12]
先行車 [13]
先行車 [14]


先行車 [17]
＜先行車 [18]
同上先行車 [19]
先行車 [20]
",,"













車両 [15]
車両検出時 [16]




","



















",F,"








遠く [10]










",,,"[1] Adaptive　Cruise　Control.先行車の認識をすることで、セットした速度を維持するとともに、自車よりも遅い先行車がいる場合には、先行車との車間距離を適切に維持するシステム。
[2] ACCにおいて、セットした速度よりも遅い先行車がいる場合には、先行車との車間距離を適切に維持するモード。
[3] (1)定速走行制御　Constant　Speed　Control先行車がいない場合、設定された車速にて一定走行する
[4] (2)車間距離制御　Distance　Control　between　Vehicles先行車がいる際に、設定された車速を上限として先行車との車間距離を調整
[5] 先行車がいるときに車間距離が目標車間距離より開いている場合、車間距離と目標車間距離の差に応じて加速する。
[6] 先行車がいるときに車間距離が目標車間距離を割り込んでいる場合、車間距離と目標車間距離の差に応じて、速やかに減速する。
[7] 目標車間距離より遠い距離にいる遅い先行車に近づいていく場合、予め自車を減速して速度を合わせながら接近する。
[8] 同上目標車間距離より遠い距離にいる遅い先行車に近づいていく場合、予め自車を減速して速度を合わせながら接近する。
[9] 先行車がいる場合、先行車の停止を判定する。
[10] 車間制御モードで走行中、先行車を検出していない、もしくは先行車が遠くにいる場合、セット車速になるように走行する。
[11] 但し、自車速が低速時に追従対象の先行車がいなくなった場合は、ACCをキャンセルする。
[12] 低速で先行車がいなくなったら、制御をキャンセルし、ドライバへ通知する。
[13] 先行車がいなくなったときに、車速が一定速で制御を行える速度よりも小さいと判定した場合は、制御をキャンセルする。
[14] メータに、制御がキャンセルであることの表示と、低車速で先行車がいなくなりキャンセルしたという警報を鳴らすことを要求する。
[15] 先行車が自車線を外れながら加速していく場合は、先行車に追従せず、自車速がセット車速になるように走行・もしくは車線変更した先行車の更に前方にいる車両に追従走行する
[16] ＜更に前方にいる車両検出時の加減速＞
[17] 先行車がいなくなった直後、セット車速まで大きく加速し出せるように、ジャークの制限量を大きくする。
[18] ＜先行車がいなくなった時のジャーク制限＞
[19] 同上先行車がいなくなった直後、セット車速まで大きく加速し出せるように、ジャークの制限量を大きくする。
[20] 先行車がいない場合のリジューム中に、車速がセット車速に収束したら一定速で走行する
[21] 先行車がいる場合のリジューム中に、先行車との車間距離が目標車間距離に収束したら、先行車に追従する。","



















","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ [4]
ニ [5]
ニ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
カラ [10]
ニ,カラ [11]
ニ,カラ [12]
ニ,カラ [13]
ニ,デ,デ,カラ [14]
ニ,カラ [15]
ニ,カラ [16]
ニ,カラ [17]
ニ,カラ [18]
ニ,カラ [19]
ニ,カラ [20]
ニ,カラ [21]",,,
調整する,ちょうせいする,,"
運転者 [2]

",,"ﾀｲﾔ?ﾔ?ﾔ?名詞ﾌ?ﾌ?ﾌ?名詞C圧 [1]
ギャップ [2]

ギャップ [4]","


",T,"


",,,"[1] センサ組み付け精度調整時はﾀｲﾔ?ﾔ?ﾔ?名詞ﾌ?ﾌ?ﾌ?名詞C圧を規定値に調整すること
[2] 安定状態の車間時間ギャップは、システムによって自動的に調整されるか、あるいは、運転者が調整してもよい(5.3.1を参照)。
[3] 安定状態の車間時間ギャップは、システムによって自動的に調整されるか、あるいは、運転者が調整してもよい(5.3.1を参照)。
[4] ACCシステムは、車間時間ギャップを適切に調整して運転環境の変化(例えば、悪天気)に適応させてもよいが、調整後の車間時間ギャップは、運転者が設定した値より低くないこと。","


","ニ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]",,,
始動する,しどうする,,"
",,"エンジン [1]
","
",T,"
",,F,"[1] S&Sでエンジン停止中に先行車が発進したら、エンジンを始動させる
[2] ACCシステムは、新しく始動される前に、システムの自己点検を完了すること。","
","ニ,カラ [1]
ニ,ニ,カラ [2]",,,
除外する,じょがいする,,"対向車 [1]
こと [2]",,"
変速器故障 [2]","
",T,"
",,F,"[1] 対向車は、追従走行する対象からあらかじめ除外する。
[2] 表4と表5に挙げた故障は、直ちに運転者に提示すること(ACC2のシステムで発生した変速器故障を除外する)。","
","ニ,カラ [1]
ニ,カラ [2]",,,
指す,さす,,,,170km,,T,,,ー,ある車速域とは、30km/h～170km/hを指す,,"ニ,ト,カラ",,,
追従する,ついじゅうする,,"

停止 [3]






先行車 [10]",,"








","








",T,"先行車 [1]
先行車 [2]
＜先行車 [3]
先行車 [4]


先行車 [7]
先行車 [8]
先行車 [9]
先行車 [10]",,T,"[1] 先行車に追従する
[2] 先行車に追従しているか否かを、ドライバに分かるように表示する。
[3] ＜先行車に追従した停止＞
[4] 止まりそうな速度（クリープ走行程度）の先行車に追従して走行中、先行車が停止した場合、目標車間距離に到達していなくても、自車を停止させる。
[5] 先行車の停止中にドライバの発進操作があった場合、3秒以内に先行車が発進したら自車も発進し、追従すること。
[6] 同上先行車の停止中にドライバの発進操作があった場合、3秒以内に先行車が発進したら自車も発進し、追従すること。
[7] 先行車が自車線を外れながら加速していく場合は、先行車に追従せず、自車速がセット車速になるように走行・もしくは車線変更した先行車の更に前方にいる車両に追従走行する
[8] 止まりそうな速度（クリープ走行程度）の先行車に追従して走行中、先行車が停止した場合、目標車間距離に到達していなくても、自車を停止させる。
[9] ACC-15CY-NA-FR-FR0052-T00を参照止まりそうな速度（クリープ走行程度）の先行車に追従して走行中、先行車が停止した場合、目標車間距離に到達していなくても、自車を停止させる。
[10] 先行車がいる場合のリジューム中に、先行車との車間距離が目標車間距離に収束したら、先行車に追従する。","








","



ニ [5]
ニ [6]



",,,
求める,もとめる,,"センサー [1]
こと [2]
平均変化率 [3]",,"
平均 [2]
平均 [3]","

",T,"ACCシステム [1]

",,T,"[1] ACCシステムに求められるセンサーの認識性能を記載した文書
[2] ACCシステムの平均減速度は、3.0m/s2より大きくないこと(2sの長さの値によって平均を求める)。
[3] ACCシステムの減速度の平均変化率は、2.5m/s3より大きくてはならない(1sの長さの値によって平均を求める)。","

","カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
終わる,おわる,,登坂路,自動詞,,,F,,,ー,登坂路が終わる、または車速が十分に上がったら、シフトアップを許可する,,"ニ,カラ",,,始まる
乖離する,かいりする,,"セット車速 [1]
セット車速 [2]",,"
","
",F,"
",,F,"[1] 一時的に加速した後など、現在の車速とセット車速が乖離していることがある。
[2] 一時的に加速した後など、現在の車速とセット車速が乖離していることがある。","
","ト,カラ [1]
ト,カラ [2]",,,
落ちる,おちる,,性能,自動詞,,,F,,,F,センサの性能が落ちたら、利用できないようにすること,,"ニ,カラ",,,
寄りかかる,よりかかる,,,,,,F,車両,,T,センサの軸調整中は車両に寄りかからないこと,,カラ,,,
